symbol,stock_name,industry,market,start_date,end_date,start_price,end_price,range_pct,win_days,span_days,win_low_sum_vol,win_amount,avg_amount,is_st,is_new,has_zero_vol,ipo_dt,days_since_ipo,status
sh603160,汇顶科技,C39计算机、通信和其他电子设备制造业,SH,2016-10-17,2016-11-11,23.3,170.98,6.338197424892703,20,25,61738.31,861262701.0,43063135.05,False,True,False,2016-10-17,0.0,1
sh603162,海通发展,G55水上运输业,SH,2023-04-28,2023-05-23,7.69,28.22,2.6697009102730815,20,25,1081338.36,571957973.0,28597898.65,False,True,False,2023-03-29,30.0,1
sh603165,荣晟环保,C22造纸和纸制品业,SH,2017-01-17,2017-02-16,15.03,44.5,1.9607451763140387,20,30,1423649.9699999997,5207692027.0,260384601.35,False,True,False,2017-01-17,0.0,1
sh603166,福达股份,C36汽车制造业,SH,2014-11-27,2014-12-12,8.35,23.84,1.8550898203592814,20,15,1371611.8399999999,2790244873.0,139512243.65,False,True,False,2014-11-27,0.0,1
sh603167,渤海轮渡,G55水上运输业,SH,2020-07-24,2020-08-12,7.36,14.87,1.0203804347826084,20,19,3219273.15,3328098615.0,166404930.75,False,False,False,2012-09-06,2878.0,1
sh603168,莎普爱思,C27医药制造业,SH,2014-07-02,2014-07-25,26.22,79.9,2.0472921434019837,20,23,591723.8899999999,4291721246.0,214586062.3,False,True,False,2014-07-02,0.0,1
sh603169,兰石重装,C35专用设备制造业,SH,2014-10-09,2014-11-05,2.02,14.8,6.326732673267327,20,27,2723742.2699999996,3125367460.0,156268373.0,False,True,False,2014-10-09,0.0,1
sh603170,宝立食品,C14食品制造业,SH,2022-07-15,2022-07-29,12.06,35.84,1.9718076285240467,20,14,1614922.9599999997,4852476401.0,242623820.05,False,True,False,2022-07-15,0.0,1
sh603171,税友股份,I64互联网和相关服务,SH,2021-06-30,2021-07-16,16.0,60.26,2.76625,20,16,1513079.17,7130551412.0,356527570.6,False,True,False,2021-06-30,0.0,1
sh603176,汇通集团,E48土木工程建筑业,SH,2021-12-31,2022-01-26,2.04,11.89,4.82843137254902,20,26,2724795.07,2740074745.0,137003737.25,False,True,False,2021-12-31,0.0,1
sh603177,德创环保,N77生态保护和环境治理业,SH,2017-02-07,2017-03-06,5.18,31.72,5.123552123552123,20,27,322144.68,964998540.0,48249927.0,False,True,False,2017-02-07,0.0,1
sh603178,圣龙股份,C36汽车制造业,SH,2017-03-28,2017-04-13,10.84,26.86,1.4778597785977858,20,16,1095380.18,2521160724.0,126058036.2,False,True,False,2017-03-28,0.0,1
sh603179,新泉股份,C36汽车制造业,SH,2017-03-17,2017-04-12,16.81,52.95,2.1499107674003572,20,26,1433365.69,6711800798.0,335590039.9,False,True,False,2017-03-17,0.0,1
sh603181,皇马科技,C26化学原料和化学制品制造业,SH,2017-08-24,2017-09-11,14.92,45.49,2.048927613941019,20,18,2187570.1100000003,8337457386.0,416872869.3,False,True,False,2017-08-24,0.0,1
sh603183,建研院,M74专业技术服务业,SH,2017-09-05,2017-09-26,19.53,81.6,3.1781874039938547,20,21,675158.06,4678226392.0,233911319.6,False,True,False,2017-09-05,0.0,1
sh603186,华正新材,C39计算机、通信和其他电子设备制造业,SH,2017-01-03,2017-02-06,7.73,31.65,3.0944372574385506,20,34,915646.5200000001,2617768170.0,130888408.5,False,True,False,2017-01-03,0.0,1
sh603189,*ST网达,I65软件和信息技术服务业,SH,2016-09-14,2016-10-17,10.45,45.0,3.3062200956937806,20,33,864570.53,3658764562.0,182938228.1,True,True,False,2016-09-14,0.0,1
sh603191,望变电气,C38电气机械和器材制造业,SH,2022-04-28,2022-05-11,14.23,30.26,1.1264933239634574,20,13,5638973.0,12557258224.0,627862911.2,False,True,False,2022-04-28,0.0,1
sh603192,汇得科技,C26化学原料和化学制品制造业,SH,2018-08-28,2018-09-06,23.52,54.8,1.3299319727891157,20,9,1579347.03,7704240402.0,385212020.1,False,True,False,2018-08-28,0.0,1
sh603195,公牛集团,C38电气机械和器材制造业,SH,2020-02-06,2020-02-20,71.34,193.99,1.7192318474908888,20,14,1873330.0999999999,32528848345.0,1626442417.25,False,True,False,2020-02-06,0.0,1
sh603196,璞源材料,C18纺织服装、服饰业,SH,2017-05-31,2017-06-12,8.5,21.86,1.571764705882353,20,12,2067072.2,3855016846.0,192750842.3,False,True,False,2017-05-31,0.0,1
sh603198,迎驾贡酒,C15酒、饮料和精制茶制造业,SH,2015-05-28,2015-06-15,14.16,53.34,2.7669491525423733,20,18,1947055.13,8095068852.0,404753442.6,False,True,False,2015-05-28,0.0,1
sh603199,九华旅游,N78公共设施管理业,SH,2015-03-26,2015-04-10,17.4,44.97,1.5844827586206898,20,15,668754.7400000001,2730813383.0,136540669.15,False,True,False,2015-03-26,0.0,1
sh603200,上海洗霸,N77生态保护和环境治理业,SH,2017-06-01,2017-06-13,24.98,53.56,1.1441152922337872,20,12,697882.0499999998,3300207410.0,165010370.5,False,True,False,2017-06-01,0.0,1
sh603203,快克智能,C35专用设备制造业,SH,2016-11-08,2016-11-28,19.8,90.23,3.5570707070707073,20,20,406251.97,3296495085.0,164824754.25,False,True,False,2016-11-08,0.0,1
sh603211,晋拓股份,C36汽车制造业,SH,2022-07-25,2022-08-09,7.86,26.91,2.4236641221374047,20,15,3316017.51,7329354451.0,366467722.55,False,True,False,2022-07-25,0.0,1
sh603212,赛伍技术,C29橡胶和塑料制品业,SH,2020-04-30,2020-05-20,15.06,32.97,1.189243027888446,20,20,2101284.75,6048208216.0,302410410.8,False,True,False,2020-04-30,0.0,1
sh603213,镇洋发展,C26化学原料和化学制品制造业,SH,2021-11-11,2021-11-26,7.19,23.48,2.265646731571627,20,15,3473347.7400000007,6396757534.0,319837876.7,False,True,False,2021-11-11,0.0,1
sh603214,爱婴室,F52零售业,SH,2018-03-30,2018-04-16,23.94,67.1,1.8028404344193816,20,17,1186207.95,6874560827.0,343728041.35,False,True,False,2018-03-30,0.0,1
sh603216,梦天家居,C20木材加工和木、竹、藤、棕、草制品业,SH,2021-12-15,2021-12-23,20.23,43.02,1.1265447355412754,20,8,2854199.1999999997,8689059615.0,434452980.75,False,True,False,2021-12-15,0.0,1
sh603219,富佳股份,C38电气机械和器材制造业,SH,2021-11-22,2021-12-15,11.47,26.91,1.346120313862249,20,23,2412102.06,5715778236.0,285788911.8,False,True,False,2021-11-22,0.0,1
sh603220,中贝通信,I65软件和信息技术服务业,SH,2018-11-15,2018-11-28,9.42,23.15,1.4575371549893843,20,13,4681243.359999999,9844147079.0,492207353.95,False,True,False,2018-11-15,0.0,1
sh603221,爱丽家居,C29橡胶和塑料制品业,SH,2024-03-05,2024-03-29,7.38,15.75,1.1341463414634148,20,24,1084382.89,1247036931.0,62351846.55,False,False,False,2020-03-23,1443.0,1
sh603222,济民健康,C35专用设备制造业,SH,2015-02-17,2015-03-09,10.6,23.9,1.2547169811320753,20,20,1176553.5999999999,2532596431.0,126629821.55,False,True,False,2015-02-17,0.0,1
sh603223,恒通股份,D45燃气生产和供应业,SH,2015-06-30,2015-07-27,11.97,33.65,1.8111946532999164,20,27,1470597.4800000002,3573653705.0,178682685.25,False,True,False,2015-06-30,0.0,1
sh603227,雪峰科技,C26化学原料和化学制品制造业,SH,2015-05-15,2015-06-11,7.17,43.91,5.1241283124128305,20,27,506917.58,1877734491.0,93886724.55,False,True,False,2015-05-15,0.0,1
sh603229,奥翔药业,C27医药制造业,SH,2017-05-09,2017-06-01,11.25,26.18,1.327111111111111,20,23,1957818.6,4535924511.0,226796225.55,False,True,False,2017-05-09,0.0,1
sh603230,内蒙新华,R86新闻和出版业,SH,2026-08-28,2026-09-24,9.01,18.47,1.0499445061043287,20,27,4292730.279999999,1242325396.0,62116269.8,False,False,False,2021-12-24,1708.0,1
sh603232,格尔软件,I65软件和信息技术服务业,SH,2017-04-21,2017-05-17,26.06,77.0,1.954719877206447,20,26,473903.08,3131135247.0,156556762.35,False,True,False,2017-04-21,0.0,1
sh603236,移远通信,C39计算机、通信和其他电子设备制造业,SH,2019-07-16,2019-08-12,52.72,138.41,1.6253793626707131,20,27,923310.5700000001,11300902550.0,565045127.5,False,True,False,2019-07-16,0.0,1
sh603237,五芳斋,C14食品制造业,SH,2023-01-19,2023-02-14,21.29,53.87,1.5302959135744483,20,26,2112177.38,2325408512.0,116270425.6,False,False,False,2022-08-31,141.0,1
sh603238,诺邦股份,C17纺织业,SH,2017-02-22,2017-03-09,19.17,54.65,1.8508085550339066,20,15,876606.9600000001,4396116441.0,219805822.05,False,True,False,2017-02-22,0.0,1
sh603239,浙江仙通,C36汽车制造业,SH,2016-12-30,2017-01-26,31.45,67.98,1.1615262321144675,20,27,774522.71,4252662407.0,212633120.35,False,True,False,2016-12-30,0.0,1
sh603256,宏和科技,C30非金属矿物制品业,SH,2019-07-19,2019-08-07,5.32,22.01,3.137218045112782,20,19,3656688.0300000003,7121087295.0,356054364.75,False,True,False,2019-07-19,0.0,1
sh603258,电魂网络,I64互联网和相关服务,SH,2016-10-26,2016-11-17,22.49,88.83,2.949755446865274,20,22,1316712.04,10989020943.0,549451047.15,False,True,False,2016-10-26,0.0,1
sh603259,药明康德,M73研究和试验发展,SH,2018-05-08,2018-06-04,25.92,138.87,4.357638888888888,20,27,1951444.03,24716046934.0,1235802346.7,False,True,False,2018-05-08,0.0,1
sh603260,合盛硅业,C26化学原料和化学制品制造业,SH,2017-10-30,2017-11-15,28.11,83.98,1.9875489149768768,20,16,2052612.65,14902517595.0,745125879.75,False,True,False,2017-10-30,0.0,1
sh603261,立航科技,C37铁路、船舶、航空航天和其他运输设备制造业,SH,2022-03-15,2022-03-30,23.64,75.0,2.1725888324873095,20,15,870937.2499999999,5468085843.0,273404292.15,False,True,False,2022-03-15,0.0,1
sh603266,天龙股份,C29橡胶和塑料制品业,SH,2017-01-10,2017-02-13,21.07,42.53,1.0185097294731849,20,34,942302.05,3599183409.0,179959170.45,False,True,False,2017-01-10,0.0,1
sh603268,松发股份,C37铁路、船舶、航空航天和其他运输设备制造业,SH,2015-03-19,2015-04-14,13.99,35.19,1.5153681200857751,20,26,882339.7399999999,2722543741.0,136127187.05,False,True,False,2015-03-19,0.0,1
sh603269,海鸥股份,C34通用设备制造业,SH,2017-05-17,2017-06-08,12.61,44.44,2.5241871530531323,20,22,1086106.98,3921586014.0,196079300.7,False,True,False,2017-05-17,0.0,1
sh603272,*ST联翔,C24文教、工美、体育和娱乐用品制造业,SH,2022-05-20,2022-05-30,16.37,34.0,1.0769700671960902,20,10,1025239.2,2623027223.0,131151361.15,True,True,False,2022-05-20,0.0,1
sh603273,天元智能,C35专用设备制造业,SH,2023-10-24,2023-10-26,17.88,53.88,2.0134228187919465,20,2,4497941.21,13679370956.0,683968547.8,False,True,False,2023-10-23,1.0,1
sh603278,大业股份,C33金属制品业,SH,2024-11-18,2024-12-06,6.3,12.73,1.0206349206349206,20,18,4796187.72,4158426451.0,207921322.55,False,False,False,2017-11-13,2562.0,1
sh603280,南方路机,C35专用设备制造业,SH,2025-07-10,2025-07-31,25.38,54.86,1.161544523246651,20,21,1564265.95,5536110464.0,276805523.2,False,False,False,2022-11-08,975.0,1
sh603281,江瀚新材,C26化学原料和化学制品制造业,SH,2023-03-03,2023-03-09,26.03,61.1,1.3472915866308104,20,6,4319933.1,5402159661.0,270107983.05,False,True,False,2023-01-31,31.0,1
sh603283,赛腾股份,C35专用设备制造业,SH,2017-12-25,2018-01-16,9.94,36.9,2.7122736418511066,20,22,1217856.04,3985773333.0,199288666.65,False,True,False,2017-12-25,0.0,1
sh603286,日盈电子,C36汽车制造业,SH,2017-06-27,2017-07-12,11.42,32.29,1.8274956217162872,20,15,794058.8899999999,2187461135.0,109373056.75,False,True,False,2017-06-27,0.0,1
sh603289,泰瑞机器,C35专用设备制造业,SH,2017-10-31,2017-11-14,11.28,29.0,1.5709219858156032,20,14,1516384.72,3645991130.0,182299556.5,False,True,False,2017-10-31,0.0,1
sh603290,斯达半导,C39计算机、通信和其他电子设备制造业,SH,2020-02-04,2020-03-02,15.29,112.29,6.344015696533683,20,27,79820.42,699738509.0,34986925.45,False,True,False,2020-02-04,0.0,1
sh603291,联合水务,D46水的生产和供应业,SH,2023-03-27,2023-04-07,7.03,18.1,1.5746799431009957,20,11,2295734.98,3500243839.0,175012191.95,False,True,False,2023-03-27,0.0,1
sh603296,华勤技术,C39计算机、通信和其他电子设备制造业,SH,2023-12-01,2023-12-12,37.2,81.78,1.1983870967741934,20,11,1791454.3499999996,2694749340.0,134737467.0,False,False,False,2023-08-08,115.0,1
sh603297,永新光学,C40仪器仪表制造业,SH,2018-09-10,2018-09-19,31.04,68.97,1.2219716494845363,20,9,1226618.7300000004,6948457112.0,347422855.6,False,True,False,2018-09-10,0.0,1
sh603299,苏盐井神,C26化学原料和化学制品制造业,SH,2015-12-31,2016-01-21,5.31,20.19,2.80225988700565,20,21,2055521.1,3486718246.0,174335912.3,False,True,False,2015-12-31,0.0,1
sh603300,海南华铁,L71租赁业,SH,2015-05-29,2015-06-17,11.84,40.88,2.452702702702703,20,19,1004974.84,3417830672.0,170891533.6,False,True,False,2015-05-29,0.0,1
sh603301,振德医疗,C27医药制造业,SH,2018-04-12,2018-04-27,28.54,78.98,1.7673440784863352,20,15,1008835.4600000001,6871585260.0,343579263.0,False,True,False,2018-04-12,0.0,1
sh603305,旭升集团,C36汽车制造业,SH,2017-07-10,2017-08-01,13.51,51.8,2.8341968911917097,20,22,1559098.8,7050264890.0,352513244.5,False,True,False,2017-07-10,0.0,1
sh603306,华懋科技,C36汽车制造业,SH,2014-09-26,2014-10-13,14.5,30.83,1.1262068965517242,20,17,991192.95,2847866948.0,142393347.4,False,True,False,2014-09-26,0.0,1
sh603307,扬州金泉,C17纺织业,SH,2023-02-17,2023-02-24,30.53,79.2,1.594169669177858,20,7,1020190.04,4223733078.0,211186653.9,False,True,False,2023-02-16,1.0,1
sh603309,维力医疗,C35专用设备制造业,SH,2015-03-02,2015-03-25,18.48,49.56,1.681818181818182,20,23,950846.13,4182675755.0,209133787.75,False,True,False,2015-03-02,0.0,1
sh603311,金海高科,C35专用设备制造业,SH,2015-05-18,2015-06-12,7.76,47.47,5.117268041237113,20,25,41276.91,150650123.0,7532506.15,False,True,False,2015-05-18,0.0,1
sh603313,梦百合,C21家具制造业,SH,2016-10-13,2016-11-04,22.19,57.18,1.5768364127985577,20,22,3328626.86,15548802021.0,777440101.05,False,True,False,2016-10-13,0.0,1
sh603315,福鞍股份,N77生态保护和环境治理业,SH,2015-04-24,2015-05-22,15.51,79.46,4.12314635718891,20,28,869869.6100000001,3729248638.0,186462431.9,False,True,False,2015-04-24,0.0,1
sh603316,诚邦股份,E48土木工程建筑业,SH,2017-06-19,2017-06-30,8.18,22.2,1.7139364303178484,20,11,2213584.83,4472570658.0,223628532.9,False,True,False,2017-06-19,0.0,1
sh603317,天味食品,C14食品制造业,SH,2019-04-16,2019-04-29,16.15,41.77,1.5863777089783286,20,13,2238270.26,8044078843.0,402203942.15,False,True,False,2019-04-16,0.0,1
sh603318,水发燃气,D45燃气生产和供应业,SH,2015-04-24,2015-05-22,9.39,57.44,5.1171458998935035,20,28,21388.920000000002,57534262.0,2876713.1,False,True,False,2015-04-24,0.0,1
sh603319,美湖股份,C36汽车制造业,SH,2016-11-30,2016-12-21,15.06,62.48,3.148738379814077,20,21,404507.55999999994,2276757174.0,113837858.7,False,True,False,2016-11-30,0.0,1
sh603320,迪贝电气,C34通用设备制造业,SH,2017-05-02,2017-05-17,11.92,40.7,2.4144295302013425,20,15,898730.05,3115799510.0,155789975.5,False,True,False,2017-05-02,0.0,1
sh603321,梅轮电梯,C34通用设备制造业,SH,2017-09-15,2017-09-29,7.28,22.66,2.1126373626373627,20,14,1920869.2999999998,3474047579.0,173702378.95,False,True,False,2017-09-15,0.0,1
sh603322,超讯科技,I65软件和信息技术服务业,SH,2016-07-28,2016-08-23,14.39,92.9,5.4558721334259905,20,26,298917.25,2637569346.0,131878467.3,False,True,False,2016-07-28,0.0,1
sh603323,苏农银行,J66货币金融服务,SH,2016-11-29,2016-12-08,8.2,19.16,1.3365853658536588,20,9,3764004.9299999997,6430540504.0,321527025.2,False,True,False,2016-11-29,0.0,1
sh603324,盛剑科技,C35专用设备制造业,SH,2021-04-07,2021-04-23,23.84,51.07,1.1421979865771812,20,16,1344418.1199999999,5715058328.0,285752916.4,False,True,False,2021-04-07,0.0,1
sh603326,我乐家居,C21家具制造业,SH,2017-06-16,2017-07-06,11.84,29.18,1.4645270270270272,20,20,2577025.9200000004,6608080814.0,330404040.7,False,True,False,2017-06-16,0.0,1
sh603327,福蓉科技,C39计算机、通信和其他电子设备制造业,SH,2019-05-23,2019-06-20,10.14,29.86,1.944773175542406,20,28,3027969.24,8247040166.0,412352008.3,False,True,False,2019-05-23,0.0,1
sh603329,上海雅仕,L72商务服务业,SH,2017-12-29,2018-01-25,12.65,37.59,1.9715415019762847,20,27,1777372.9899999995,5521254416.0,276062720.8,False,True,False,2017-12-29,0.0,1
sh603330,天洋新材,C29橡胶和塑料制品业,SH,2017-02-13,2017-02-28,26.19,74.46,1.8430698739977087,20,15,382768.06999999995,2655568711.0,132778435.55,False,True,False,2017-02-13,0.0,1
sh603331,百达精工,C34通用设备制造业,SH,2017-07-05,2017-07-14,11.56,27.05,1.3399653979238755,20,9,835855.6900000001,1810351327.0,90517566.35,False,True,False,2017-07-05,0.0,1
sh603332,苏州龙杰,C28化学纤维制造业,SH,2025-04-21,2025-05-21,8.82,18.0,1.0408163265306123,20,30,4036912.8400000003,5762206959.0,288110347.95,False,False,False,2019-01-17,2286.0,1
sh603335,迪生力,C36汽车制造业,SH,2017-06-20,2017-07-10,4.34,19.77,3.555299539170507,20,20,1338191.65,2220563799.0,111028189.95,False,True,False,2017-06-20,0.0,1
sh603336,宏辉果蔬,C13农副食品加工业,SH,2016-11-24,2016-12-19,11.17,60.7,4.434198746642793,20,25,1162879.75,5968455596.0,298422779.8,False,True,False,2016-11-24,0.0,1
sh603338,浙江鼎力,C35专用设备制造业,SH,2015-05-07,2015-05-28,71.5,147.57,1.0639160839160837,20,21,416173.28,4204419016.0,210220950.8,False,True,False,2015-03-25,43.0,1
sh603339,四方科技,C33金属制品业,SH,2016-05-19,2016-06-08,14.67,55.74,2.79959100204499,20,20,1956735.7,9422637577.0,471131878.85,False,True,False,2016-05-19,0.0,1
sh603345,安井食品,C13农副食品加工业,SH,2017-02-22,2017-03-17,16.01,45.75,1.8575890068707057,20,23,1651180.75,7238572261.0,361928613.05,False,True,False,2017-02-22,0.0,1
sh603348,文灿股份,C36汽车制造业,SH,2018-04-26,2018-05-23,18.31,53.97,1.9475696340797382,20,27,3664353.89,16558286071.0,827914303.55,False,True,False,2018-04-26,0.0,1
sh603353,和顺石油,F52零售业,SH,2025-10-27,2025-11-19,17.3,35.44,1.0485549132947973,20,23,1468734.7799999998,3586496708.0,179324835.4,False,False,False,2020-04-07,2029.0,1
sh603355,莱克电气,C38电气机械和器材制造业,SH,2015-05-13,2015-06-04,22.9,115.0,4.021834061135372,20,22,432541.64,4195362952.0,209768147.6,False,True,False,2015-05-13,0.0,1
sh603357,设计总院,M74专业技术服务业,SH,2017-08-01,2017-08-28,12.53,28.66,1.2873104549082206,20,27,4193302.8600000003,9402352269.0,470117613.45,False,True,False,2017-08-01,0.0,1
sh603359,*ST东珠,E48土木工程建筑业,SH,2017-09-01,2017-09-13,26.18,56.0,1.1390374331550803,20,12,1530901.23,7448840289.0,372442014.45,True,True,False,2017-09-01,0.0,1
sh603360,百傲化学,C26化学原料和化学制品制造业,SH,2017-02-06,2017-02-24,11.09,40.07,2.6131650135256987,20,18,1344141.87,4897103436.0,244855171.8,False,True,False,2017-02-06,0.0,1
sh603363,傲农生物,C13农副食品加工业,SH,2017-09-26,2017-10-20,6.9,23.84,2.455072463768116,20,24,1524564.75,3089080622.0,154454031.1,False,True,False,2017-09-26,0.0,1
sh603366,日出东方,C38电气机械和器材制造业,SH,2019-12-11,2020-01-08,4.29,8.69,1.0256410256410255,20,28,6358703.75,4090871373.0,204543568.65,False,False,False,2012-05-21,2760.0,1
sh603367,辰欣药业,C27医药制造业,SH,2017-09-29,2017-10-17,13.99,32.73,1.3395282344531805,20,18,2690834.9200000004,7535151511.0,376757575.55,False,True,False,2017-09-29,0.0,1
sh603368,柳药集团,F51批发业,SH,2015-04-09,2015-05-20,59.51,122.33,1.0556209040497397,20,41,400814.9,3162938960.0,158146948.0,False,False,False,2014-12-04,126.0,1
sh603373,安邦护卫,L72商务服务业,SH,2024-07-30,2024-08-06,18.03,36.91,1.0471436494731,20,7,4795325.71,1509022954.0,75451147.7,False,False,False,2023-12-20,223.0,1
sh603377,ST东时,P83教育,SH,2016-02-05,2016-02-25,19.68,55.68,1.8292682926829267,20,20,1926466.65,8698976780.0,434948839.0,True,True,False,2016-02-05,0.0,1
