symbol,date,proba,close
sz001330,2026-09-24,0.3342527160912846,5.78
sz002323,2026-09-24,0.33419158987983033,1.25
sh600540,2026-09-24,0.33404714090327353,5.43
sh603068,2026-09-24,0.3332550826415977,48.51
sz002342,2026-09-24,0.3323416890144968,7.89
sh600491,2026-09-24,0.32503960497634515,1.62
sz002631,2026-09-24,0.3247854076609943,13.93
sh601086,2026-09-24,0.32399136148538343,15.32
sh688678,2026-09-24,0.3222432592263876,32.63
sz002297,2026-09-24,0.32184076698528113,22.47
sz002377,2026-09-24,0.3198707908303917,2.95
sz002470,2026-09-24,0.31866828128443114,2.02
sh600699,2026-09-24,0.3183864582032096,22.62
sh600303,2026-09-24,0.31713815824430586,3.05
sh600006,2026-09-24,0.3156362179918275,5.49
sz000882,2026-09-24,0.3155702922496338,1.5
sz002519,2026-09-24,0.31450638916262613,5.9
sz000863,2026-09-24,0.3145021690677557,4.52
sz002565,2026-09-24,0.3139005852892288,8.78
sh603817,2026-09-24,0.31256168049634897,6.16
sz001376,2026-09-24,0.31085134134763975,13.12
sz002487,2026-09-24,0.310476008928066,39.77
sh688286,2026-09-24,0.3099730943841651,55.8
sz000910,2026-09-24,0.30928549979407904,7.6
sz002528,2026-09-24,0.30864199776250717,5.73
sh601992,2026-09-24,0.30857451855699153,1.4
sz002669,2026-09-24,0.30801683472409713,15.15
sz301122,2026-09-24,0.3072915326922681,63.54
sz000701,2026-09-24,0.307289375447969,5.46
sz002663,2026-09-24,0.3044574416297369,1.7
sz002429,2026-09-24,0.3043695286636065,8.3
sh600583,2026-09-24,0.3040347754290012,6.52
sh600337,2026-09-24,0.30339463481917744,3.43
sh600400,2026-09-24,0.3033022923601714,3.41
sz002743,2026-09-24,0.30259398048968056,4.75
sz300110,2026-09-24,0.3017151990065904,3.45
sh600163,2026-09-24,0.3005450371295895,5.53
sz000677,2026-09-24,0.30050137288299145,1.8
sh603686,2026-09-24,0.29801034410080696,14.82
sz002077,2026-09-24,0.29625083775496613,14.67
sz002252,2026-09-24,0.29551200507822845,5.02
sz300185,2026-09-24,0.2940958142297254,2.75
sz002035,2026-09-24,0.29261538131931325,4.83
sz002031,2026-09-24,0.2907156445759354,5.35
sz002682,2026-09-24,0.2904435119994881,5.05
sz300264,2026-09-24,0.290200956743827,6.2
sh600743,2026-09-24,0.29005097784292905,2.56
sz002217,2026-09-24,0.28965196733671666,1.56
sh601777,2026-09-24,0.2871583784118171,8.28
bj920871,2026-09-24,0.2858130144799104,11.45
sz002093,2026-09-24,0.28500403544125513,7.77
sz301030,2026-09-24,0.284366027587711,5.33
sz300081,2026-09-24,0.2808730939072923,3.47
sz002082,2026-09-24,0.2788959388174102,12.0
